date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_barons 1.5,22.39%,4.49,5.5,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,game_duration 33.5,32.67%,1.38,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,total_towers 11.5,10.00%,1.82,2.0,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 12:00,LEC,Karmine Corp,Team Heretics,over,total_barons 1.5,11.18%,3.6,4.0,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 12:00,LEC,Karmine Corp,Team Heretics,over,total_inhibitors 1.5,10.47%,1.38,1.53,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 13:00,LTA S,Vivo Keyd Stars,RED Canids,under,game_duration 33.5,22.00%,1.5,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
8 Jun 2025 13:00,LTA S,paiN Gaming,FURIA,under,total_towers 12.5,12.11%,1.4,1.57,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_inhibitors 1.5,16.47%,1.55,1.8,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_dragons 4.5,13.03%,1.62,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,game_duration 32.5,14.38%,1.6,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_dragons 4.5,12.88%,1.86,2.1,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 10:00,VCS,Saigon Dino,Mila Gaming,under,total_kills 36.5,6.75%,1.71,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
29 Mai 2025 07:00,LCK,KT Rolster,Gen.G,over,total_dragons 4.5,6.65%,2.22,2.37,BET365,url não disponível,pending,1.0,0.0,0.0
29 Mai 2025 07:00,LCK,KT Rolster,Gen.G,under,total_kills 27.5,5.22%,1.74,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,game_duration 31.5,22.17%,1.5,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_towers 11.5,11.68%,1.34,1.5,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,total_dragons 4.5,7.50%,1.6,1.72,BET365,url não disponível,pending,1.0,0.0,0.0
1 Jun 2025 05:00,LCK,Dplus KIA,Nongshim RedForce,under,total_kills 29.5,5.22%,1.74,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_barons 1.5,11.76%,3.58,4.0,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_towers 12.5,11.29%,1.55,1.72,BET365,url não disponível,pending,1.0,0.0,0.0
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_kills 34.5,5.22%,1.74,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
31 Mai 2025 17:00,LTA N,Team Liquid,Dignitas,over,total_kills 27.5,8.59%,1.69,1.83,BET365,url não disponível,pending,1.0,0.0,0.0
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,over,total_dragons 4.5,10.82%,1.42,1.57,BET365,url não disponível,loss,0.0,,-1.0
22 Mai 2025 13:00,LFL,Karmine Corp Blue,Gentle Mates,under,total_kills 27.5,7.65%,1.7,1.83,BET365,url não disponível,win,0.0,,0.83
22 Mai 2025 15:00,LPLOL,For The Win Esports,Odivelas Sports Club,under,total_kills 36.5,12.30%,1.63,1.83,BET365,url não disponível,win,0.0,,0.83
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,total_kills 31.5,8.66%,1.68,1.83,BET365,url não disponível,loss,0.0,,-1.0
22 Mai 2025 13:00,LVP SL,Los Heretics,Barça eSports,under,game_duration 33.5,5.22%,1.74,1.83,BET365,url não disponível,win,0.0,,0.83
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_towers 11.5,5.80%,1.52,1.61,BET365,url não disponível,win,0.0,,0.61
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,,0.66
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_towers 11.5,6.87%,2.45,2.62,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,16.54%,1.57,1.83,BET365,url não disponível,win,0.0,,0.83
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,game_duration 29.5,7.87%,1.7,1.83,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,15.33%,1.44,1.66,BET365,url não disponível,win,0.0,,0.66
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,62.11%,4.94,8.0,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,37.55%,1.9,2.62,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,37.25%,1.33,1.83,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_inhibitors 1.5,6.87%,2.11,2.25,BET365,url não disponível,win,0.0,,1.25
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,,0.53
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,,0.72
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,under,total_barons 1.5,7.33%,1.04,1.12,BET365,url não disponível,win,0.0,,0.12
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_dragons 4.5,5.36%,1.16,1.22,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,,0.57
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,26.16%,1.45,1.83,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,,0.72
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,,0.11
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_dragons 4.5,6.25%,2.35,2.5,BET365,url não disponível,win,0.0,,1.5
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,over,total_kills 28.5,9.80%,1.67,1.83,BET365,url não disponível,win,0.0,,0.83
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,,0.9
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,11.16%,2.02,2.25,BET365,url não disponível,loss,0.0,,-1.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,22.00%,1.5,1.83,BET365,url não disponível,win,0.0,,0.83
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,15.46%,1.58,1.83,BET365,url não disponível,loss,0.0,,-1.0
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_inhibitors 1.5,8.33%,1.85,2.0,BET365,url não disponível,win,0.0,,1.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,,-1.0
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,22.14%,1.56,1.9,BET365,url não disponível,win,0.0,,0.9
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,15.00%,1.74,2.0,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,24.43%,1.9,2.37,BET365,url não disponível,win,0.0,,1.37
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,49.88%,1.47,2.2,BET365,url não disponível,win,0.0,,1.2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,9.69%,2.05,2.25,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,,0.33
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 13:00,LFL,Vitality.Bee,BK ROG Esports,under,total_towers 12.5,8.45%,1.48,1.61,BET365,url não disponível,win,0.0,,0.61
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,26.58%,1.45,1.83,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,26.00%,1.43,1.8,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_barons 1.5,5.00%,3.33,3.5,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_dragons 4.5,21.57%,2.06,2.5,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,game_duration 34.5,15.63%,1.58,1.83,BET365,url não disponível,win,0.0,,0.83
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_inhibitors 1.5,27.36%,1.49,1.9,BET365,url não disponível,loss,0.0,,-1.0
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,over,total_barons 1.5,17.58%,3.4,4.0,BET365,url não disponível,loss,0.0,,-1.0
23 Mai 2025 18:00,NACL,Winthrop University,Near Airport,over,total_kills 27.5,11.01%,1.65,1.83,BET365,url não disponível,loss,0.0,,-1.0
26 Mai 2025 06:00,LCKC,BNK FEARX Youth,Nongshim Esports Academy,under,total_kills 29.5,5.22%,1.74,1.83,BET365,url não disponível,loss,,,-1.0
