date,league,t1,t2,bet_type,bet_line,bet_result,ROI,fair_odds,odds,House,url,status,telegram,profit,game
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,2.0,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,0.66,2
22 Mai 2025 13:00,NLC,Los Ratones,Verdant,over,total_inhibitors 1.5,3.0,12.64%,1.47,1.66,BET365,url não disponível,win,0.0,0.66,3
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_towers 11.5,9.0,6.87%,2.45,2.62,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_towers 11.5,12.0,6.87%,2.45,2.62,BET365,url não disponível,win,0.0,1.62,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,29.0,16.54%,1.57,1.83,BET365,url não disponível,win,0.0,0.83,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_kills 25.5,32.0,16.54%,1.57,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,game_duration 29.5,26.3,7.87%,1.7,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,game_duration 29.5,37.28,7.87%,1.7,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,1.0,15.33%,1.44,1.66,BET365,url não disponível,win,0.0,0.66,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,under,total_inhibitors 1.5,1.0,15.33%,1.44,1.66,BET365,url não disponível,win,0.0,0.66,2
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,0.0,62.11%,4.94,8.0,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 05:00,LCK,Gen.G,DRX,over,total_barons 1.5,2.0,62.11%,4.94,8.0,BET365,url não disponível,win,0.0,7.0,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,5.0,37.55%,1.9,2.62,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,3.0,37.55%,1.9,2.62,BET365,url não disponível,win,0.0,1.62,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,3.0,37.55%,1.9,2.62,BET365,url não disponível,win,0.0,1.62,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,35.17,37.25%,1.33,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,27.63,37.25%,1.33,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,30.5,37.25%,1.33,1.83,BET365,url não disponível,win,0.0,0.83,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_inhibitors 1.5,1.0,6.87%,2.11,2.25,BET365,url não disponível,win,0.0,1.25,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_inhibitors 1.5,2.0,6.87%,2.11,2.25,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_inhibitors 1.5,2.0,6.87%,2.11,2.25,BET365,url não disponível,loss,0.0,-1.0,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,3
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,2.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,1
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,under,total_barons 1.5,1.0,7.33%,1.04,1.12,BET365,url não disponível,win,0.0,0.12,1
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,under,total_barons 1.5,1.0,7.33%,1.04,1.12,BET365,url não disponível,win,0.0,0.12,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_dragons 4.5,5.0,5.36%,1.16,1.22,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_dragons 4.5,4.0,5.36%,1.16,1.22,BET365,url não disponível,win,0.0,0.22,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_dragons 4.5,4.0,5.36%,1.16,1.22,BET365,url não disponível,win,0.0,0.22,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,8.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,11.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,9.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,26.0,26.16%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,19.0,26.16%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,25.0,26.16%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,2.0,12.71%,1.53,1.72,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,0.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,1
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,1.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,2
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,1.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,3
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_dragons 4.5,4.0,6.25%,2.35,2.5,BET365,url não disponível,win,0.0,1.5,1
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_dragons 4.5,5.0,6.25%,2.35,2.5,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_dragons 4.5,5.0,6.25%,2.35,2.5,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,over,total_kills 28.5,29.0,9.80%,1.67,1.83,BET365,url não disponível,win,0.0,0.83,1
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,over,total_kills 28.5,32.0,9.80%,1.67,1.83,BET365,url não disponível,win,0.0,0.83,2
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,over,total_kills 28.5,22.0,9.80%,1.67,1.83,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,1.0,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,0.9,1
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,1.0,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,0.9,2
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,2.0,14.00%,1.67,1.9,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,9.0,11.16%,2.02,2.25,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,17.0,11.16%,2.02,2.25,BET365,url não disponível,win,0.0,1.25,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,14.0,11.16%,2.02,2.25,BET365,url não disponível,win,0.0,1.25,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,25.0,22.00%,1.5,1.83,BET365,url não disponível,win,0.0,0.83,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,45.0,22.00%,1.5,1.83,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,38.0,22.00%,1.5,1.83,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,30.13,15.46%,1.58,1.83,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,51.15,15.46%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,47.88,15.46%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_inhibitors 1.5,1.0,8.33%,1.85,2.0,BET365,url não disponível,win,0.0,1.0,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_inhibitors 1.5,3.0,8.33%,1.85,2.0,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_inhibitors 1.5,4.0,8.33%,1.85,2.0,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,5.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,6.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,4.0,20.00%,1.75,2.1,BET365,url não disponível,win,0.0,1.1,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,6.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,4
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,1.0,22.14%,1.56,1.9,BET365,url não disponível,win,0.0,0.9,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,2.0,22.14%,1.56,1.9,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,1.0,22.14%,1.56,1.9,BET365,url não disponível,win,0.0,0.9,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,2.0,22.14%,1.56,1.9,BET365,url não disponível,loss,0.0,-1.0,4
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,2.0,14.29%,3.5,4.0,BET365,url não disponível,win,0.0,3.0,4
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,33.15,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,26.52,14.38%,1.6,1.83,BET365,url não disponível,win,0.0,0.83,2
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,35.85,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,2.0,15.00%,1.74,2.0,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,1.0,15.00%,1.74,2.0,BET365,url não disponível,win,0.0,1.0,2
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,2.0,15.00%,1.74,2.0,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,4.0,24.43%,1.9,2.37,BET365,url não disponível,win,0.0,1.37,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,5.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,10.0,49.88%,1.47,2.2,BET365,url não disponível,win,0.0,1.2,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,15.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,13.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,13.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,11.0,49.88%,1.47,2.2,BET365,url não disponível,win,0.0,1.2,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,30.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,36.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,41.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,29.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,17.0,18.95%,1.54,1.83,BET365,url não disponível,win,0.0,0.83,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,34.13,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,43.2,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,35.95,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,31.67,29.24%,1.42,1.83,BET365,url não disponível,win,0.0,0.83,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,36.33,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,2.0,9.69%,2.05,2.25,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,2.0,9.69%,2.05,2.25,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,2.0,9.69%,2.05,2.25,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,1.0,9.69%,2.05,2.25,BET365,url não disponível,win,0.0,1.25,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_inhibitors 1.5,2.0,9.69%,2.05,2.25,BET365,url não disponível,loss,0.0,-1.0,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,3.0,18.87%,1.12,1.33,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,5
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,1.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,3.0,27.50%,2.35,3.0,BET365,url não disponível,win,0.0,2.0,5
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,2
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,6.0,45.07%,1.55,2.25,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,4
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,26.7,29.34%,1.41,1.83,BET365,url não disponível,win,0.0,0.83,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,27.92,29.34%,1.41,1.83,BET365,url não disponível,win,0.0,0.83,2
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,34.48,29.34%,1.41,1.83,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,33.87,29.34%,1.41,1.83,BET365,url não disponível,loss,0.0,-1.0,4
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_barons 1.5,0.0,7.55%,1.19,1.28,BET365,url não disponível,win,0.0,0.28,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_barons 1.5,1.0,7.55%,1.19,1.28,BET365,url não disponível,win,0.0,0.28,2
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_barons 1.5,2.0,7.55%,1.19,1.28,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_barons 1.5,2.0,7.55%,1.19,1.28,BET365,url não disponível,loss,0.0,-1.0,4
23 Mai 2025 13:00,LFL,Vitality.Bee,BK ROG Esports,under,total_towers 12.5,11.0,8.45%,1.48,1.61,BET365,url não disponível,win,0.0,0.61,1
23 Mai 2025 13:00,LFL,Vitality.Bee,BK ROG Esports,under,total_towers 12.5,14.0,8.45%,1.48,1.61,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 13:00,LFL,Vitality.Bee,BK ROG Esports,under,total_towers 12.5,12.0,8.45%,1.48,1.61,BET365,url não disponível,win,0.0,0.61,3
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,29.0,26.58%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,37.0,26.58%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,73.0,26.58%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,3
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,21.0,26.58%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,4
