date,league,t1,t2,bet_type,bet_line,bet_result,ROI,fair_odds,odds,House,url,status,telegram,profit,game
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_towers 11.5,9.0,23.70%,1.27,1.57,BET365,url não disponível,win,0.0,0.57,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_kills 24.5,25.0,26.16%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,3
23 Mai 2025 06:30,LCP,Team Secret Whales,Chiefs Esports Club,under,total_barons 1.5,1.0,11.00%,1.0,1.11,BET365,url não disponível,win,0.0,0.11,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,5.0,37.55%,1.9,2.62,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,35.17,37.25%,1.33,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,1
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,3.0,37.55%,1.9,2.62,BET365,url não disponível,win,0.0,1.62,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,27.63,37.25%,1.33,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,2
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_dragons 4.5,3.0,37.55%,1.9,2.62,BET365,url não disponível,win,0.0,1.62,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,game_duration 33.5,30.5,37.25%,1.33,1.83,BET365,url não disponível,win,0.0,0.83,3
23 Mai 2025 07:00,LCK,Nongshim RedForce,KT Rolster,under,total_barons 1.5,1.0,26.22%,1.21,1.53,BET365,url não disponível,win,0.0,0.53,3
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,2.0,12.71%,1.53,1.72,BET365,url não disponível,win,0.0,0.72,1
23 Mai 2025 09:00,LCP,Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,over,total_inhibitors 1.5,1.0,12.71%,1.53,1.72,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,29.0,26.58%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,2.0,26.00%,1.43,1.8,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,37.0,26.58%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,2
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,3.0,26.00%,1.43,1.8,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,73.0,26.58%,1.45,1.83,BET365,url não disponível,win,0.0,0.83,3
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,1.0,26.00%,1.43,1.8,BET365,url não disponível,win,0.0,0.8,3
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,over,total_kills 32.5,21.0,26.58%,1.45,1.83,BET365,url não disponível,loss,0.0,-1.0,4
23 Mai 2025 12:00,TCL,BoostGate Esports,ULF Esports,under,total_inhibitors 1.5,1.0,26.00%,1.43,1.8,BET365,url não disponível,win,0.0,0.8,4
23 Mai 2025 18:00,NACL,Winthrop University,Near Airport,over,total_kills 27.5,18.0,11.01%,1.65,1.83,BET365,url não disponível,loss,0.0,-1.0,1
23 Mai 2025 18:00,NACL,Winthrop University,Near Airport,over,total_kills 27.5,24.0,11.01%,1.65,1.83,BET365,url não disponível,loss,0.0,-1.0,2
23 Mai 2025 18:00,NACL,Winthrop University,Near Airport,over,total_kills 27.5,25.0,11.01%,1.65,1.83,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,1.0,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,0.9,1
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,1.0,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,0.9,2
24 Mai 2025 03:00,LCK,Hanwha Life Esports,Dplus KIA,under,total_inhibitors 1.5,2.0,14.00%,1.67,1.9,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,5.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,1.0,22.14%,1.56,1.9,BET365,url não disponível,win,0.0,0.9,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,6.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,2.0,22.14%,1.56,1.9,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,4.0,20.00%,1.75,2.1,BET365,url não disponível,win,0.0,1.1,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,1.0,22.14%,1.56,1.9,BET365,url não disponível,win,0.0,0.9,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,1.0,14.29%,3.5,4.0,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_dragons 4.5,6.0,20.00%,1.75,2.1,BET365,url não disponível,loss,0.0,-1.0,4
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,under,total_inhibitors 1.5,2.0,22.14%,1.56,1.9,BET365,url não disponível,loss,0.0,-1.0,4
24 Mai 2025 12:00,LTA S,paiN Gaming,LOUD,over,total_barons 1.5,2.0,14.29%,3.5,4.0,BET365,url não disponível,win,0.0,3.0,4
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,9.0,11.16%,2.02,2.25,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,25.0,22.00%,1.5,1.83,BET365,url não disponível,win,0.0,0.83,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,30.13,15.46%,1.58,1.83,BET365,url não disponível,loss,0.0,-1.0,1
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,17.0,11.16%,2.02,2.25,BET365,url não disponível,win,0.0,1.25,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,45.0,22.00%,1.5,1.83,BET365,url não disponível,loss,0.0,-1.0,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,51.15,15.46%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,2
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,total_towers 11.5,14.0,11.16%,2.02,2.25,BET365,url não disponível,win,0.0,1.25,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,under,total_kills 27.5,38.0,22.00%,1.5,1.83,BET365,url não disponível,loss,0.0,-1.0,3
24 Mai 2025 17:00,LTA N,FlyQuest,Shopify Rebellion,over,game_duration 30.5,47.88,15.46%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,3
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,33.15,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,2.0,15.00%,1.74,2.0,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,26.52,14.38%,1.6,1.83,BET365,url não disponível,win,0.0,0.83,2
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,1.0,15.00%,1.74,2.0,BET365,url não disponível,win,0.0,1.0,2
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,game_duration 31.5,35.85,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 03:00,LCK,OKSavingsBank BRION,Nongshim RedForce,under,total_inhibitors 1.5,2.0,15.00%,1.74,2.0,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,0.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,1.0,27.50%,2.35,3.0,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 09:00,LPL,FunPlus Phoenix,Ninjas in Pyjamas,over,total_barons 1.5,3.0,27.50%,2.35,3.0,BET365,url não disponível,win,0.0,2.0,5
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_dragons 4.5,5.0,21.57%,2.06,2.5,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,game_duration 34.5,32.25,15.63%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,1
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_inhibitors 1.5,2.0,27.36%,1.49,1.9,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,over,total_barons 1.5,1.0,17.58%,3.4,4.0,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_dragons 4.5,3.0,21.57%,2.06,2.5,BET365,url não disponível,win,0.0,1.5,2
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,game_duration 34.5,27.9,15.63%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,2
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_inhibitors 1.5,2.0,27.36%,1.49,1.9,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,over,total_barons 1.5,1.0,17.58%,3.4,4.0,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_dragons 4.5,4.0,21.57%,2.06,2.5,BET365,url não disponível,win,0.0,1.5,3
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,game_duration 34.5,33.18,15.63%,1.58,1.83,BET365,url não disponível,win,0.0,0.83,3
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,under,total_inhibitors 1.5,1.0,27.36%,1.49,1.9,BET365,url não disponível,win,0.0,0.9,3
25 Mai 2025 12:00,LTA S,FURIA,Vivo Keyd Stars,over,total_barons 1.5,1.0,17.58%,3.4,4.0,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,4.0,24.43%,1.9,2.37,BET365,url não disponível,win,0.0,1.37,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,10.0,49.88%,1.47,2.2,BET365,url não disponível,win,0.0,1.2,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,30.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,34.13,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,1
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,15.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,36.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,43.2,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,3.0,18.87%,1.12,1.33,BET365,url não disponível,loss,0.0,-1.0,2
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,13.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,41.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,35.95,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,3
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,5.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,13.0,49.88%,1.47,2.2,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,29.0,18.95%,1.54,1.83,BET365,url não disponível,loss,0.0,-1.0,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,31.67,29.24%,1.42,1.83,BET365,url não disponível,win,0.0,0.83,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,4
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_dragons 4.5,6.0,24.43%,1.9,2.37,BET365,url não disponível,loss,0.0,-1.0,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_towers 12.5,11.0,49.88%,1.47,2.2,BET365,url não disponível,win,0.0,1.2,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_kills 27.5,17.0,18.95%,1.54,1.83,BET365,url não disponível,win,0.0,0.83,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,game_duration 33.5,36.33,29.24%,1.42,1.83,BET365,url não disponível,loss,0.0,-1.0,5
25 Mai 2025 12:00,LEC,Karmine Corp,Movistar KOI,under,total_barons 1.5,1.0,18.87%,1.12,1.33,BET365,url não disponível,win,0.0,0.33,5
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_towers 12.5,14.0,22.40%,1.25,1.53,BET365,url não disponível,loss,0.0,-1.0,1
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_kills 29.5,27.0,18.95%,1.54,1.83,BET365,url não disponível,win,0.0,0.83,1
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_inhibitors 1.5,1.0,14.00%,1.67,1.9,BET365,url não disponível,win,0.0,0.9,1
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_towers 12.5,11.0,22.40%,1.25,1.53,BET365,url não disponível,win,0.0,0.53,2
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_kills 29.5,27.0,18.95%,1.54,1.83,BET365,url não disponível,win,0.0,0.83,2
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_inhibitors 1.5,2.0,14.00%,1.67,1.9,BET365,url não disponível,loss,0.0,-1.0,2
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_towers 12.5,11.0,22.40%,1.25,1.53,BET365,url não disponível,win,0.0,0.53,3
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_kills 29.5,29.0,18.95%,1.54,1.83,BET365,url não disponível,win,0.0,0.83,3
27 Mai 2025 06:00,LPL,Weibo Gaming,ThunderTalk Gaming,under,total_inhibitors 1.5,2.0,14.00%,1.67,1.9,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_dragons 4.5,3.0,13.03%,1.62,1.83,BET365,url não disponível,loss,,-1.0,1
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_towers 12.5,13.0,11.29%,1.55,1.72,BET365,url não disponível,win,,0.72,1
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_kills 35.5,52.0,18.41%,1.55,1.83,BET365,url não disponível,win,,0.83,1
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,game_duration 31.5,29.12,18.41%,1.55,1.83,BET365,url não disponível,loss,,-1.0,1
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_inhibitors 1.5,2.0,16.47%,1.55,1.8,BET365,url não disponível,win,,0.8,1
27 Mai 2025 07:00,VCS,Saigon Secret,GenZ Gaming,over,total_barons 1.5,1.0,11.76%,3.58,4.0,BET365,url não disponível,loss,,-1.0,1
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_dragons 4.5,4.0,12.88%,1.86,2.1,BET365,url não disponível,win,,1.1,1
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,game_duration 32.5,27.17,14.38%,1.6,1.83,BET365,url não disponível,win,,0.83,1
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_inhibitors 1.5,1.0,18.95%,1.54,1.83,BET365,url não disponível,win,,0.83,1
27 Mai 2025 08:00,VCS,Team Flash,SN CyberCore Esports,under,total_barons 1.5,1.0,15.63%,1.08,1.25,BET365,url não disponível,win,,0.25,1
27 Mai 2025 10:00,VCS,Saigon Dino,Mila Gaming,over,total_dragons 4.5,4.0,10.27%,2.15,2.37,BET365,url não disponível,loss,,-1.0,1
27 Mai 2025 10:00,VCS,Saigon Dino,Mila Gaming,under,total_inhibitors 1.5,2.0,18.75%,1.6,1.9,BET365,url não disponível,loss,,-1.0,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,26.7,29.34%,1.41,1.83,BET365,url não disponível,win,0.0,0.83,1
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,2
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,27.92,29.34%,1.41,1.83,BET365,url não disponível,win,0.0,0.83,2
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,6.0,45.07%,1.55,2.25,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,34.48,29.34%,1.41,1.83,BET365,url não disponível,loss,0.0,-1.0,3
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,total_dragons 4.5,4.0,45.07%,1.55,2.25,BET365,url não disponível,win,0.0,1.25,4
27 Mai 2025 13:00,PRM,CGN Esports,Kaufland Hangry Knights,under,game_duration 32.5,33.87,29.34%,1.41,1.83,BET365,url não disponível,loss,0.0,-1.0,4
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_inhibitors 1.5,3.0,10.34%,1.66,1.83,BET365,url não disponível,loss,,-1.0,1
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_barons 1.5,2.0,11.63%,1.09,1.22,BET365,url não disponível,loss,,-1.0,1
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_inhibitors 1.5,1.0,10.34%,1.66,1.83,BET365,url não disponível,win,,0.83,2
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_barons 1.5,2.0,11.63%,1.09,1.22,BET365,url não disponível,loss,,-1.0,2
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_inhibitors 1.5,1.0,10.34%,1.66,1.83,BET365,url não disponível,win,,0.83,3
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_barons 1.5,1.0,11.63%,1.09,1.22,BET365,url não disponível,win,,0.22,3
28 Mai 2025 13:00,PRM,Berlin International Gaming,ROSSMANN Centaurs,under,game_duration 31.5,27.57,14.38%,1.6,1.83,BET365,url não disponível,win,0.0,0.83,1
28 Mai 2025 13:00,PRM,Berlin International Gaming,ROSSMANN Centaurs,under,game_duration 31.5,33.18,14.38%,1.6,1.83,BET365,url não disponível,loss,0.0,-1.0,2
28 Mai 2025 13:00,PRM,Berlin International Gaming,ROSSMANN Centaurs,under,game_duration 31.5,26.67,14.38%,1.6,1.83,BET365,url não disponível,win,0.0,0.83,3
